,id,lastFundingIndex,margin,lastPrice,size,account,marketKey
537,10407,39758,51500000000000016331,16700788000000000000000,6167373659254880,0x8efcfd2fe6956b1b49a1aba42b06c320334907cb,sBTC
564,10436,39877,54138095238095243377,16684495000000000000000,6814110945521575,0xb9972e034fe7ff9513094ed04785bc69c4f3877f,sBTC
385,9103,34456,50000000000000014399,17213320000000000000000,6099927265629175,0xd2f56327319ec645d58dec14d84e782b10bf1ff3,sBTC
640,9405,35642,51500000000000002807,17213630000000000000000,5983630413805803,0x964c64a8c0f7ae8536d74ee1f42b99a343baac5c,sBTC
63,1121,3356,59820000000000000084,36484551000000000000000,1644531681368368,0x536f428c511dcc898ff92053079c041cf2cd7b14,sBTC
189,1690,5230,56611060726687107526,29846729000000000000000,3838503416933380,0xf49bc6e43aedf67d08cd70671d4e40ce7fd5b6c6,sBTC
192,1938,6056,61918530113415539511,29513180000000000000000,2103722223301758,0x99bd11d67c0ef077dd85a0ddcefbc713601784c4,sBTC
206,1939,6058,84105284453445795047,29513180000000000000000,5730704765994987,0x76d83a162cb64dab3398971935e108040d33d4f5,sBTC
374,2677,8580,99295606820305792830,21474720000000000000000,-9313276261576402,0x56fe4e1fc671db51dfff927628665532a9fc250f,sBTC
231,13085,50773,51000000000000010213,18205620000000000000000,5602665550527804,0xee60cda87aabaf7dc77636b22592ee603bc2d4af,sBTC
494,13439,52375,107461459415870965038,20883926416680000000000,-5145653995890421,0x8e6973c639c9597bffbc7d7eda46cfc397246d3b,sBTC
669,13868,54451,567295125849578303210,21811230771280000000000,200000000000000000,0xfb3f0661d1564a4f4fef61bf1a50cc5621301d23,sBTC
690,12484,48286,102000000000000014903,16934910000000000000000,6023061238589399,0x26d41062e4b1f50be92c9b576fcb811a66fe3ff0,sBTC
943,11701,45090,95155214867197799558,16547060000000000000000,12086739275738409,0xc463029561171fa5cdb7e3a9433b1fb631e78d4e,sBTC
134,6920,25323,108250000000000003323,21255613649280000000000,-5092772280590769,0x296cf2ef329a186e8625f1315b0de01d41eb8d3f,sBTC
223,13651,53371,102326666666666661350,23026580000000000000000,13331549887130437,0x0f119a0faf1dd7083929c3bb585cbbffe85c012c,sBTC
416,7298,27124,116000839460557516947,16536346656000000000000,-6998986595009915,0xc3b2e374754272fe716dd91ff253c6078ded10bd,sBTC
474,7381,27454,53000000000000011910,16749800000000000000000,6328433772343550,0xd783e8098e81eda446a267cf036c78863ad2318a,sBTC
684,6341,23345,40001000000000000000,20558833331950000000000,288,0xc7571572426f147302e541a99d9fc33dc5b54ba1,sBTC
804,6503,23520,60000000000000003614,20097492305520000000000,5672349478580898,0x10fdca779f573cf1ced689f0eeb1317d83ee9c58,sBTC
825,10371,39584,56730000000000002732,16996930000000000000000,-3337661565941614,0x0a9e67004bc2179dd0978ca1e2d17454679330e5,sBTC
152,3875,12758,159000000000000000235,23240840000000000000000,17211081871395350,0xf3255cd6f38a3e0a6aea4217a2a5affbadb29c72,sBTC
175,4520,15276,206594538551929795542,20851160000000000000000,10000000000000000,0x1f353e22b43b6409de71d6229854c736a773eeda,sBTC
256,4086,13487,69790000000000000047,21918320000000000000000,-3193675427678763,0x654d34445eb7fe967aa95aafc0c614592f43a33e,sBTC
287,4214,13953,74500407250000000000,19983710000000000000000,10000000000000000,0x2e811936373126d2f6ef6bcac0fc4ccf27b963bc,sBTC
309,288,14288,77361087076383512481,19801742561740000000000,7816549421102561,0x68e845717ea2ae0ca63e7b2c9f6052fe7397e96e,sBTC
412,4532,25959,61448380304279022090,17744891809300000000000,19766752322593400,0x9a3bef5598b4298188f9e286ec1a87ea6773fe18,sBTC
602,4860,16728,98749999999999999974,18973800000000000000000,26352127670788140,0x444c996b74631763ce0c406fcbe9aa13d35f395e,sBTC
605,4864,16738,148122894815598919092,18972055266270000000000,39576211602932550,0x51064197a20a4b1b8ba92b747f4b56d6759fcfce,sBTC
940,148625,593043,104101683855089103117,1333112822770000000000,78364006753867121,0x7702b1c67ffeed9f762455a1b53a30e5134837af,sETH
10,146479,584418,101668642222394090234,1326870000000000000000,76909796007173361,0x2cfe4926544c4b269a1a2433d85e21913ce5c605,sETH
55,146529,584607,104076519706006357016,1326870000000000000000,78719980916638884,0x145199e9e5a15f7098100dc4d1fe7da05bcd0c62,sETH
24,143371,571912,105000000000000000107,1325910712020000000000,79190852783770392,0xeb868b91110a5116684e34ba4f3e4563de5c5831,sETH
575,141835,565719,100860000000000001215,1323980000000000000000,76179398480339582,0x2ece907b12402d38a4d6266bd734ea6b0a297a2c,sETH
710,141985,566313,97442716852405522821,1338040000000000000000,754800000000000000,0xf830781e71b1a9923b0508eaa62fa3034e1ae34b,sETH
887,142158,566993,56000000000000000034,1342330000000000000000,83437008783235121,0x2903683240ae3ee165ed79b1d53c463c8a7f7e97,sETH
294,140508,560318,100880000000000001118,1322390000000000000000,-76286118316079220,0x992d1602136c5b05799930d0fe7958a8ec4071d4,sETH
736,139900,557843,108490000000000000300,1311685029450000000000,-82710404986089322,0x6ad19e19e1ba88645b2b9cf08b9398f2de5413d1,sETH
369,136340,543540,108900000000000000725,1266140000000000000000,-86009446032824174,0x881d09da20835b7434cd543ea993291d8b60c50e,sETH
896,136878,545689,50499999999999999821,1265110000000000000000,79834955063196085,0x11114711f6dd90f6e7d21f6bd818502982bf8e19,sETH
258,135134,538692,103390000000000000506,1261276415970000000000,81972515057681991,0x3904c1f68c7032e0f6f9391192a3a57b4b6d74ea,sETH
500,135393,539748,55499999999999999985,1262057200000000000000,87951639592880576,0x4566a4563319cefbba8cf350b9b0d6b4ea43d6ad,sETH
742,133581,532455,51000000000000000350,1263040300000000000000,80757518188453685,0x1d0a5ab73883fe7774154df0f8daf7646ed52a09,sETH
103,128437,511927,118220000000000000129,1266600000000000000000,93336491394283909,0x0796fe6de307c2e95fdc5c74f7ed1847a08f45f3,sETH
764,129179,514873,63650288857174448351,1263952331800000000000,80699245876417947,0x30b2b07d44ab654dddcff12e86d5ec53e0355232,sETH
158,163991,654847,109309999999999999193,1541208883500000000000,70924844237701929,0xc77988276ec1fc38bbbd6742066ff53b9dfaa6e7,sETH
248,163988,654838,49999630723723059140,1541208883500000000000,-32516941326431070,0x4e4c7ff36e7366d5137a7b0f7bec677885505ecc,sETH
322,164088,655234,101372336973151290471,1543910950000000000000,-132100000000000000,0x5dfde03cd97a805a09a770dbf07996a800965737,sETH
131,161628,645443,100999989824541900199,1535734969620000000000,65768346831877465,0x9f5985cfcbb506497d0e48af52a1b8d10fc03207,sETH
250,161758,645964,50000000000000001492,1540425127960000000000,32458572047714832,0x83132a901a8678dd52ea209c35e619ac93865183,sETH
472,162002,646921,58673833126401851174,1528800000000000000000,126452852321096543,0x3ece8ec5b2ce41b3e353605c422e464326c66f0e,sETH
547,162083,647251,99110000000000000664,1524900000000000000000,-129988851727982162,0xd43f67c622aa070f04365ff3f5d176aef537a0b3,sETH
26,160462,640788,62464854128093898774,1521590000000000000000,98581089518201355,0xcdb7d9520c4871bcfd6a7f7fe0b8ea82316cd536,sETH
313,160768,642013,49999999999999999954,1528870000000000000000,32703892417275504,0x4812611b57addf7ebdec5bdac7746c03c5388511,sETH
411,160868,642411,101000000000000000311,1528210000000000000000,-66090393335994398,0xaec3ae505657d52955b2580bbaefd470050d14b3,sETH
446,162271,648011,60000000000000000425,1523908400550000000000,78744890412501374,0xf0ac8c1e96db4064542d145b431490455c94b677,sETH
524,160989,642881,108490000000000000079,1533815200000000000000,70732119488710243,0xc5b4129b842b254191bbaa883bd5dddb2c1b63e4,sETH
658,161127,643474,105000056991775019368,1528520000000000000000,-68693899981681626,0xf97be36daa526389333540c35eec5fc5603c78ce,sETH
375,159735,637889,55000000000000000954,1516669392510000000000,36263671088514673,0x4659c1b51b2285521f4261a6aa5f813193424df4,sETH
604,159987,638913,108000000000000001185,1529012582080000000000,70633820326763860,0x44e0f53fc19c263302ff4340e044975bbd3b2b76,sETH
780,160183,639673,53157894736842106284,1538840000000000000000,65633854071898313,0xfd415008b343fccd084026237a2d1b19a998003e,sETH
784,160187,639682,105454545454545455714,1538840000000000000000,75381456161784201,0x386e81a2ff5107d040da9814e1b62c0ed0922e9a,sETH
913,160337,640292,117999999999999999920,1533250866590000000000,76960660888087970,0x32fb22ef59be95d07809e8607da5dde75f3cc4ca,sETH
170,158407,632495,107510000000000001320,1448070000000000000000,74243648442409552,0x5a306788bcfc83b99c4fc061601eb31a2d37fefe,sETH
185,158423,632563,78167567567567568130,1450264895750000000000,199425636549266934,0x897752c34574946772f9c0090748d9a99adb5622,sETH
277,158530,633044,105589377760363665437,1557162700000000000000,67917227194489976,0xc6ec668b634c7b819fa95df487c8765ce2698a7f,sETH
278,158531,633050,105589377760363665437,1557162700000000000000,67917227194489976,0x1368dbdd2e8c420c48c6471490fb609f068e9378,sETH
174,157274,627850,110000000000000001194,1412614784530000000000,-77869778232994209,0xaa09620eb8841dc01f81354b660276b54c505a77,sETH
746,157928,630491,118173985101235442861,1418660000000000000000,83299723049381418,0xc1ebf09144680bced4e4d4a59adeee378b2a4bd7,sETH
761,157948,630569,101999999999999999502,1418751500000000000000,-71894197116267365,0x91a4671e1d704084773d6299baa9f759f3519f23,sETH
137,156155,623377,104070233861923352344,1428426424290000000000,73290196581427338,0xd00dc28631a30c49f40985972367a6f64998b8ef,sETH
175,156193,623519,108697500000000000128,1418890000000000000000,306429673900020438,0x0a08e5a9d71a9f8b43bc5c9c15be3c331c702a94,sETH
735,156804,625961,108490000000000000331,1413120000000000000000,76773380887681159,0x4b9e20180714dfdf6ea50d4f5b3115abbf6952be,sETH
754,156825,626045,105000000000000000284,1411487680230000000000,74389597210576002,0x7b292538bdda9a2b600f3595d9b4fcd8d2e9a552,sETH
947,157030,626870,112703546574482400000,1406540000000000000000,80000000000000000,0x540a27b3eee077cf19b5f7a2273c7c36c8ca0e41,sETH
176,155121,619242,118220000000000000698,1386510000000000000000,85264440934432495,0x97d9a1b901ea447d28aaeca626d3b21f12fdf7f9,sETH
64,153980,614647,51520000000000000886,1399280000000000000000,-36818935452518438,0xfe7abe8fd12d30d2d369227b509af4bc22c7f547,sETH
656,154573,617016,113200000000000000139,1397620000000000000000,80994834075070476,0x3dbd01990162d726bae77d09dd9bf5558e7bf2e6,sETH
57,152939,610453,102350116448071511823,1400269844030000000000,73397197307589909,0xf2962ba8139fda9ef58eb7fc5edf4cc4a970575a,sETH
180,153063,610951,118240000000000000642,1400269844030000000000,-84440867240062319,0x9263f97591cbcb7eef4e6adc6eb469d1b1ba49f7,sETH
519,153413,612361,108359999999999999520,1396110000000000000000,77615660657111545,0x9c6ab7da225f3ded69bd4fae0a509b6c03cb1862,sETH
250,151054,602765,102321428571428571683,1330870955410000000000,-107636280901380949,0x0e61c64519427468375298bdfabd8d2ce7e69e82,sETH
717,151549,604748,103000000000000000330,1336690000000000000000,77056011491071228,0x2f97c4558ca41e33ca88140ec769a947358fc44d,sETH
780,151617,605017,109999999999999999397,1342840000000000000000,81915939352417264,0xb2fb1c398b839518c82e30138245a7f5d711afe8,sETH
259,131814,525418,118340000000000000943,1265050000000000000000,93545709655744832,0x1a3f84ee21492c0243d3a084cf425d53274589d6,sETH
104,126987,506109,55025000000000000973,1241940000000000000000,88611366088538898,0x60cebc126370871ee21ed327f07b4f02cca2ae9b,sETH
674,130648,520736,101000000000000000496,1263680000000000000000,79925297543681944,0x02ca1dd92c476b43cc630fd8d78ca5430c357ffe,sETH
715,127660,508803,100590000000000000046,1266410000000000000000,-79429252769640163,0x7c551f8796a66f759a67fdd25b1f3b824626a1d5,sETH
917,121506,484053,51624668300138331207,1252506232280000000000,80990415335463250,0x4f6bba33ef6ff9699217459e0e2a2e70bce9a28a,sETH
942,120449,479786,55800370030500000000,1252630000000000000000,957900000000000000,0x7656a6df8cb25ca8082f961fae077f2ec082e6bc,sETH
28,118390,471588,57000000000000000286,1210620000000000000000,-47083312682757595,0x861fc804bd8c65a6b99566d6cfdaca6b51de47a1,sETH
42,118405,471643,103000000000000000309,1208785095330000000000,85209521856224457,0xf63d3def11a335ba59f220626d3240c1209e8d32,sETH
100,118472,471921,101000000000000000993,1208869092140000000000,83549162317654091,0x66d608697493a5237ec97d56cf8063e6a3660d81,sETH
112,118492,471992,51280000000000000579,1207025000000000000000,42484621279592386,0x0ade5e79b7bca2b5e51a5c3423084a4e5b8caf5f,sETH
198,118590,472399,118000000000000000852,1207112270210000000000,97753956207794714,0x33aaf2c452db82d1e1962f353ac651ff0a6a8d20,sETH
523,119771,477046,121020000000000001136,1249482869860000000000,96856069754329524,0x4266e2a7b6475acd745e58b76ba58446fe455842,sETH
342,117642,468593,104999999999999999763,1218095228810000000000,86200157029248186,0xf37efcdf54eaf95af6a5c2b825c35461a5cb3f2b,sETH
63,116273,463109,108000000000000000794,1216155119600000000000,-88804461091708255,0x75dc4d77cd73c0d54e2900cc6d4fefeeaba8ca52,sETH
888,117167,466685,50500000000000000454,1217520000000000000000,82955516131151849,0xeaf48d04bc76165a64c22937d377f0a8eac26f3d,sETH
46,115189,458731,116890000000000001167,1195600000000000000000,97766811642689862,0xb530114ada3f4204fed808f469f8d65b793ecc4d,sETH
124,115269,459050,102666666666666667855,1201353160370000000000,256377566697489937,0xec0ea21ec81462a02f894988ada98d2c953ee1ca,sETH
499,115666,460653,109685000000000000001,1213240000000000000000,-86545118855296561,0x9fc37cdf1abd391b17e72786644a8da92143a0ea,sETH
508,115679,462238,110638881448064443901,1216780000000000000000,84072401173716659,0x4054994b7102b52b4ca003c304642d3c0af48a8e,sETH
594,115773,461079,100393854721226443763,1217484395810000000000,132600000000000000,0x68a8bde0267b26b024b8b54709a3ce8c3a4a84ca,sETH
861,116050,462180,101300000000000000221,1216780000000000000000,83252518943440884,0x62703314d5d57e8653504480f73824f029403349,sETH
928,116119,462453,114643000000000000004,1216850000000000000000,83822985577515716,0xc4995d598a6ac11c100bc59bd57eea75dc2cd5d4,sETH
698,115693,460747,102999420026129421602,1215086359220000000000,84896640400909960,0xb0a7b9755c6f08244ee15b718ee119e36a4aa898,sETH
284,105307,418915,106000000000000000432,1220558217590000000000,86845509269764843,0x79fdc019c790319228ee57b152737715fa0ac726,sETH
625,106552,423912,108390000000000000253,1222783787120000000000,177283999251067858,0xa78fdcb839b0b2337bf1dfb838d8679aa54723e4,sETH
642,102748,408635,100429999999999999055,1218928930710000000000,-82392006186531051,0x7ca0bdd3af1784367b20cc9d035b1f780d10c7b6,sETH
100,94127,373691,50000000000000001056,1184190000000000000000,84445908173519452,0xfd2c58dd9758c4a5869d3c2a486d5f3492cebe54,sETH
520,94601,375613,100650000000000000794,1179215000000000000000,85353391875103352,0x112580cec9173f7e784374c2a96fe805a05cf057,sETH
620,94732,376131,147010000000000001068,1169570000000000000000,-125695768530314560,0x2f2081e6b5621cf0dbde0af5b4041768614d8215,sETH
608,92503,367211,107550000000000001021,1181434140660000000000,-91033428185779308,0xa82f757e49446f29347ce77c36eedb315a5c00e0,sETH
216,90984,361126,140179999999999999365,1180000433320000000000,118796566544976088,0x142f1407f6617c992e448b8917c4834c396323f1,sETH
259,88810,352347,58666666666666666982,1211100000000000000000,145322434150772025,0xba6ed8727cc56adc9285348abf0aaae06859f61a,sETH
378,88939,352881,109999999999999999404,1212720000000000000000,90705191635332145,0xa01ef1e49323de327b1b887fa0315932b0b55889,sETH
555,89127,353647,100999999999999999471,1209620000000000000000,83497296671682015,0xe1ce8ceedd550d0d4cb6bb07665324b12a8ab7ee,sETH
696,89300,354346,116515000000000000171,1194530000000000000000,195080910483621173,0x152f8db1600f0fba222030be397edb61fe97cc46,sETH
54,87502,347054,106000000000000000704,1271490000000000000000,83366758684692762,0x27a919a726e8546c6e0b4cc7c73f9cd75d339dac,sETH
295,87770,348124,112000000000000000186,1271320935770000000000,88097345720311798,0xb0fbcacf3e694d9c93b640c5f064e6993d024402,sETH
310,87785,348190,53000000000000000934,1271320935770000000000,83377845056723666,0xff7c64d0e1d2cf4b755b6265ccd2f0cd12aeae7d,sETH
784,87179,345786,102156862745098040167,1276765000000000000000,408062564371673722,0xae96b5e23c6a4c054c3daad6192afcc3656a7311,sETH
512,83530,331054,103000000000000000418,1321389903680000000000,77948226873196567,0xf12f3324121d83f4d14ced84f6e865a14a33d571,sETH
727,83796,332119,108000000000000000327,1319430000000000000000,81853527659671221,0x7b5b8729cd70d87a6b74317d3376d560afb067e1,sETH
469,82314,326097,102000000000000000815,1271775000000000000000,-80202866073008197,0xf9b34da688182cc0b933b63e01186cfef42342fc,sETH
487,82357,326269,91233333333333333855,1273783905070000000000,85948644479052037,0xa4901b39b71f47970549ca8ea2a0497b2565fc3b,sETH
825,82708,327670,138700000000000000392,1267577016130000000000,109421359203451526,0x667faff77b1c152f536ab470d6e4c55e99e2b893,sETH
596,81312,322051,102000000000000000004,1254450000000000000000,81310534497190003,0x9ded3f0293d70b709fd2a28678030a20127c85a7,sETH
830,81586,323142,100999770479540839101,1252183598730000000000,80708637821985512,0x36443c16de7a0356d20dd19216357f05d22b02b4,sETH
913,81682,323531,100200000000000001092,1250050000000000000000,400783968641254349,0xcbeb27b98cb46030885029ae15e555c699794496,sETH
285,79813,316004,51995952380952381634,1274381245830000000000,86316398926882660,0x9f0feff44275bfe0ce15690c2ede23eada4a1358,sETH
542,80103,317186,101000000000000000902,1274048000000000000000,-79274878183553523,0xa0d2e9574c9168bda380747831c832d59444c9e5,sETH
11,78415,310454,104550000000000000997,1268830000000000000000,-82398745300788915,0x6fe79f28e7087753894c8d15adead76d608cc462,sETH
174,77482,306699,112560000000000000461,1264095000000000000000,89043940526621812,0x1d73eec442d3b94e1d64b3521b2c3bbbded06b3e,sETH
183,77491,306737,139730000000000000297,1264095000000000000000,110537578267456164,0x186da4d811b1bfef0fccdabf9bc5af5bf2648a0d,sETH
463,77797,307972,107400000000000000241,1265190000000000000000,84888435729020937,0xcbab797384f53ba657c0f2ea1901b4906ef7c6c4,sETH
593,77942,308561,101000000000000001126,1265920000000000000000,79783872598584428,0x82e620a4aeabfe64b6759f3fee0d473d780937da,sETH
904,77182,311868,101716462011323900126,1268461829650000000000,160010957610282983,0xe187ff0ac7d2c7d2fdd91c21858fdd37c80ac2a5,sETH
990,77272,305862,103230000000000000614,1263540000000000000000,-81699036041597416,0x534415809eab0b993516cd0eb245ab36f1b4f7fc,sETH
460,74388,294262,107170000000000000391,1233180000000000000000,86905399049611573,0x092cf689ab6d9f6f9813d8de1ea5179d2b096b03,sETH
459,73228,289647,53888888888888889769,1230400000000000000000,78836150845253576,0x526c3b2f095ab251dc37a2eeb8d50521a8b3352a,sETH
502,75947,300528,120000000000000000774,1279435772350000000000,93791343491663002,0x002e4b36dc32ea1f1a25daa2fd4e10575909c83b,sETH
640,73440,290497,107000000000000000451,1233860000000000000000,86719725090366816,0x1ef85c3e300f9158d355c830273f3ce7313218ff,sETH
358,72002,284720,100100000000000000334,1262315000000000000000,79298748727536312,0x9f18a8be5089afb594f7bdf48ce0667eafa4757d,sETH
257,71896,284309,112230000000000001132,1268370000000000000000,88483644362449442,0x40aceaef476d82f3089fa16f7e6dc12a6871f943,sETH
75,167155,667568,105930000000000000225,1574822252210000000000,-67264734068460702,0x1d21cafe304aaf833a645edb74d2035d32f39a86,sETH
149,167249,668427,101320256560921952283,1569622851640000000000,96725689067670075,0xb2716745ae34b1d4be7e1c72b4bc847920828752,sETH
251,167546,669144,102560000000000000956,1567930000000000000000,-65411083402958040,0xfbc0216bde9ca3a5c7e17f205fde0dc0588fcde6,sETH
260,167381,670640,218900489183332277601,1577176315660000000000,138800000000000000,0xc59634837e4ebdc9bc02ca1972dbca1dd435c007,sETH
648,167811,670320,102490000000000000440,1583550500000000000000,64721649230637103,0x18a84c0577ed4923ada095d7086f586ae1be1abf,sETH
650,167816,670339,101000000000000000007,1583550500000000000000,-63780725654155014,0x14acf9d666b566f2805634516f014ccde4f1972d,sETH
